"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"173413";"Consumo Humano/Pecuária";"Subterrânea"
"173414";"Consumo Humano";"Subterrânea"
"173415";"Consumo Humano";"Subterrânea"
"173416";"Consumo Humano";"Subterrânea"
"173417";"Consumo Humano/Pecuária";"Subterrânea"
"173418";"Consumo Humano/Pecuária";"Subterrânea"
"173419";"Consumo Humano";"Subterrânea"
"173420";"Consumo Humano/Pecuária";"Subterrânea"
"173421";"Nenhum Outro Uso";"Subterrânea"
"173422";"Nenhum Outro Uso";"Subterrânea"
"173423";"Nenhum Outro Uso";"Subterrânea"
"173424";"Nenhum Outro Uso";"Subterrânea"
"173425";"Consumo Humano";"Subterrânea"
"173426";"Nenhum Outro Uso";"Subterrânea"
"173427";"Nenhum Outro Uso";"Subterrânea"
"173428";"Pecuária";"Subterrânea"
"173429";"Consumo Humano";"Subterrânea"
"173430";"Nenhum Outro Uso";"Subterrânea"
"173431";"Nenhum Outro Uso";"Subterrânea"
"173432";"Consumo Humano";"Subterrânea"
"173433";"Consumo Humano";"Subterrânea"
"173434";"Nenhum Outro Uso";"Subterrânea"
"173435";"Consumo Humano";"Subterrânea"
"173436";"Consumo Humano";"Subterrânea"
"173437";"Consumo Humano";"Subterrânea"
"173438";"Consumo Humano";"Subterrânea"
"173439";"Consumo Humano";"Subterrânea"
"173440";"Consumo Humano";"Subterrânea"
"173441";"Consumo Humano";"Subterrânea"
"173442";"Consumo Humano";"Subterrânea"
"173443";"Consumo Humano";"Subterrânea"
"173444";"Nenhum Outro Uso";"Subterrânea"
"173445";"Consumo Humano";"Subterrânea"
"173446";"Nenhum Outro Uso";"Subterrânea"
"173447";"Pecuária";"Subterrânea"
"173448";"Nenhum Outro Uso";"Subterrânea"
"173449";"Nenhum Outro Uso";"Subterrânea"
"173450";"Pecuária";"Subterrânea"
"173451";"Pecuária";"Subterrânea"
"173452";"Nenhum Outro Uso";"Subterrânea"
"173453";"Nenhum Outro Uso";"Subterrânea"
"173454";"Nenhum Outro Uso";"Subterrânea"
"173455";"Consumo Humano/Pecuária";"Subterrânea"
"173456";"Nenhum Outro Uso";"Subterrânea"
"173457";"Consumo Humano/Pecuária";"Subterrânea"
"173458";"Nenhum Outro Uso";"Subterrânea"
"173459";"Consumo Humano";"Subterrânea"
"173460";"Consumo Humano";"Subterrânea"
"173461";"Consumo Humano";"Subterrânea"
"173462";"Consumo Humano";"Subterrânea"
"173463";"Nenhum Outro Uso";"Subterrânea"
"173464";"Consumo Humano";"Subterrânea"
"173465";"Consumo Humano/Pecuária";"Subterrânea"
"173466";"Consumo Humano";"Subterrânea"
"173467";"Pecuária";"Subterrânea"
"173468";"Nenhum Outro Uso";"Subterrânea"
"173469";"Consumo Humano";"Subterrânea"
"173470";"Consumo Humano";"Subterrânea"
"173471";"Nenhum Outro Uso";"Subterrânea"
"173472";"Nenhum Outro Uso";"Subterrânea"
"173473";"Nenhum Outro Uso";"Subterrânea"
"173474";"Nenhum Outro Uso";"Subterrânea"
"173475";"Nenhum Outro Uso";"Subterrânea"
"173476";"Nenhum Outro Uso";"Subterrânea"
"173477";"Nenhum Outro Uso";"Subterrânea"
"173478";"Nenhum Outro Uso";"Subterrânea"
"173479";"Nenhum Outro Uso";"Subterrânea"
"173480";"Nenhum Outro Uso";"Subterrânea"
"173481";"Nenhum Outro Uso";"Subterrânea"
"173482";"Consumo Humano";"Subterrânea"
"173483";"Consumo Humano";"Subterrânea"
"173484";"Consumo Humano";"Subterrânea"
"173485";"Nenhum Outro Uso";"Subterrânea"
"173486";"Nenhum Outro Uso";"Subterrânea"
"173487";"Consumo Humano";"Subterrânea"
"173488";"Consumo Humano";"Subterrânea"
"173489";"Consumo Humano/Pecuária";"Subterrânea"
"173490";"Consumo Humano";"Subterrânea"
"173491";"Consumo Humano";"Subterrânea"
"173492";"Nenhum Outro Uso";"Subterrânea"
"173493";"Consumo Humano/Pecuária";"Subterrânea"
"173494";"Pecuária";"Subterrânea"
"173495";"Consumo Humano";"Subterrânea"
"173496";"Consumo Humano";"Subterrânea"
"173497";"Consumo Humano/Pecuária";"Subterrânea"
"173498";"Consumo Humano";"Subterrânea"
"173499";"Consumo Humano";"Subterrânea"
"173500";"Nenhum Outro Uso";"Subterrânea"
"173501";"Nenhum Outro Uso";"Subterrânea"
"173502";"Consumo Humano";"Subterrânea"
"173503";"Nenhum Outro Uso";"Subterrânea"
"173504";"Consumo Humano";"Subterrânea"
"173505";"Consumo Humano";"Subterrânea"
"173506";"Nenhum Outro Uso";"Subterrânea"
"173507";"Nenhum Outro Uso";"Subterrânea"
"173508";"Nenhum Outro Uso";"Subterrânea"
"173509";"Nenhum Outro Uso";"Subterrânea"
"173510";"Nenhum Outro Uso";"Subterrânea"
"173511";"Nenhum Outro Uso";"Subterrânea"
"173512";"Nenhum Outro Uso";"Subterrânea"
"173513";"Nenhum Outro Uso";"Subterrânea"
"173514";"Nenhum Outro Uso";"Subterrânea"
"173515";"Nenhum Outro Uso";"Subterrânea"
"173516";"Nenhum Outro Uso";"Subterrânea"
"173517";"Nenhum Outro Uso";"Subterrânea"
"173518";"Nenhum Outro Uso";"Subterrânea"
"173519";"Nenhum Outro Uso";"Subterrânea"
"173520";"Nenhum Outro Uso";"Subterrânea"
"173521";"Nenhum Outro Uso";"Subterrânea"
"173522";"Pecuária";"Subterrânea"
"173523";"Consumo Humano";"Subterrânea"
"173524";"Consumo Humano/Pecuária";"Subterrânea"
"173525";"Consumo Humano/Pecuária";"Subterrânea"
"173526";"Consumo Humano/Pecuária";"Subterrânea"
"173527";"Pecuária";"Subterrânea"
"173528";"Consumo Humano";"Subterrânea"
"173529";"Consumo Humano/Pecuária";"Subterrânea"
"173530";"Consumo Humano/Pecuária";"Subterrânea"
"173531";"Consumo Humano";"Subterrânea"
"173532";"Consumo Humano";"Subterrânea"
"173533";"Consumo Humano";"Subterrânea"
"173534";"Consumo Humano";"Subterrânea"
"173535";"Consumo Humano";"Subterrânea"
"173536";"Nenhum Outro Uso";"Subterrânea"
"173537";"Consumo Humano/Pecuária";"Subterrânea"
"173538";"Pecuária";"Subterrânea"
"173539";"Pecuária";"Subterrânea"
"173540";"Pecuária";"Subterrânea"
"173541";"Pecuária";"Subterrânea"
"173542";"Pecuária";"Subterrânea"
"173543";"Pecuária";"Subterrânea"
"173544";"Pecuária";"Subterrânea"
"173545";"Nenhum Outro Uso";"Subterrânea"
"173546";"Pecuária";"Subterrânea"
"173547";"Nenhum Outro Uso";"Subterrânea"
"173548";"Nenhum Outro Uso";"Subterrânea"
"173549";"Nenhum Outro Uso";"Subterrânea"
"173550";"Nenhum Outro Uso";"Subterrânea"
"173551";"Nenhum Outro Uso";"Subterrânea"
"173552";"Nenhum Outro Uso";"Subterrânea"
"173553";"Nenhum Outro Uso";"Subterrânea"
"173554";"Nenhum Outro Uso";"Subterrânea"
"173555";"Nenhum Outro Uso";"Subterrânea"
"173556";"Nenhum Outro Uso";"Subterrânea"
"173557";"Nenhum Outro Uso";"Subterrânea"
"173558";"Nenhum Outro Uso";"Subterrânea"
"173559";"Pecuária";"Subterrânea"
"173560";"Nenhum Outro Uso";"Subterrânea"
"173562";"Consumo Humano";"Subterrânea"
"173564";"Nenhum Outro Uso";"Subterrânea"
"173565";"Nenhum Outro Uso";"Subterrânea"
"173566";"Nenhum Outro Uso";"Subterrânea"
"173567";"Nenhum Outro Uso";"Subterrânea"
"173568";"Nenhum Outro Uso";"Subterrânea"
"173569";"Nenhum Outro Uso";"Subterrânea"
"173570";"Consumo Humano";"Subterrânea"
"173571";"Consumo Humano";"Subterrânea"
"173572";"Nenhum Outro Uso";"Subterrânea"
"173575";"Nenhum Outro Uso";"Subterrânea"
"173576";"Nenhum Outro Uso";"Subterrânea"
"173577";"Nenhum Outro Uso";"Subterrânea"
"173578";"Nenhum Outro Uso";"Subterrânea"
"173580";"Nenhum Outro Uso";"Subterrânea"
"173581";"Nenhum Outro Uso";"Subterrânea"
"173582";"Consumo Humano";"Subterrânea"
"173583";"Nenhum Outro Uso";"Subterrânea"
"173584";"Nenhum Outro Uso";"Subterrânea"
"173585";"Nenhum Outro Uso";"Subterrânea"
"173586";"Nenhum Outro Uso";"Subterrânea"
"173587";"Nenhum Outro Uso";"Subterrânea"
"173588";"Nenhum Outro Uso";"Subterrânea"
"173589";"Nenhum Outro Uso";"Subterrânea"
"173590";"Nenhum Outro Uso";"Subterrânea"
"173591";"Nenhum Outro Uso";"Subterrânea"
"173592";"Nenhum Outro Uso";"Subterrânea"
"173593";"Nenhum Outro Uso";"Subterrânea"
"173594";"Nenhum Outro Uso";"Subterrânea"
"173595";"Pecuária";"Subterrânea"
"173596";"Pecuária";"Subterrânea"
"173597";"Nenhum Outro Uso";"Subterrânea"
"173598";"Nenhum Outro Uso";"Subterrânea"
"173599";"Nenhum Outro Uso";"Subterrânea"
"173600";"Pecuária";"Subterrânea"
"173601";"Nenhum Outro Uso";"Subterrânea"
"173602";"Nenhum Outro Uso";"Subterrânea"
"173603";"Nenhum Outro Uso";"Subterrânea"
"173604";"Nenhum Outro Uso";"Subterrânea"
"173605";"Nenhum Outro Uso";"Subterrânea"
"173606";"Nenhum Outro Uso";"Subterrânea"
"173607";"Nenhum Outro Uso";"Subterrânea"
"173608";"Nenhum Outro Uso";"Subterrânea"
"173609";"Nenhum Outro Uso";"Subterrânea"
"173610";"Nenhum Outro Uso";"Subterrânea"
"173611";"Nenhum Outro Uso";"Subterrânea"
"173612";"Consumo Humano";"Subterrânea"
"173613";"Nenhum Outro Uso";"Subterrânea"
"173614";"Nenhum Outro Uso";"Subterrânea"
"173615";"Nenhum Outro Uso";"Subterrânea"
"173616";"Nenhum Outro Uso";"Subterrânea"
"173617";"Nenhum Outro Uso";"Subterrânea"
"173618";"Nenhum Outro Uso";"Subterrânea"
"173619";"Nenhum Outro Uso";"Subterrânea"
"173620";"Nenhum Outro Uso";"Subterrânea"
"173621";"Nenhum Outro Uso";"Subterrânea"
"173622";"Nenhum Outro Uso";"Subterrânea"
"173623";"Nenhum Outro Uso";"Subterrânea"
"173624";"Nenhum Outro Uso";"Subterrânea"
"173625";"Nenhum Outro Uso";"Subterrânea"
"173626";"Nenhum Outro Uso";"Subterrânea"
"173627";"Indústria";"Subterrânea"
"173628";"Nenhum Outro Uso";"Subterrânea"
"173629";"Nenhum Outro Uso";"Subterrânea"
"173630";"Nenhum Outro Uso";"Subterrânea"
"173631";"Nenhum Outro Uso";"Subterrânea"
"173632";"Nenhum Outro Uso";"Subterrânea"
"173633";"Nenhum Outro Uso";"Subterrânea"
"173634";"Nenhum Outro Uso";"Subterrânea"
"173635";"Pecuária/Nenhum Outro Uso";"Subterrânea"
"173636";"Nenhum Outro Uso";"Subterrânea"
"173637";"Nenhum Outro Uso";"Subterrânea"
"173638";"Nenhum Outro Uso";"Subterrânea"
"173639";"Nenhum Outro Uso";"Subterrânea"
"173640";"Nenhum Outro Uso";"Subterrânea"
"173641";"Nenhum Outro Uso";"Subterrânea"
"173642";"Nenhum Outro Uso";"Subterrânea"
"173643";"Nenhum Outro Uso";"Subterrânea"
"173644";"Nenhum Outro Uso";"Subterrânea"
"173645";"Nenhum Outro Uso";"Subterrânea"
"173646";"Nenhum Outro Uso";"Subterrânea"
"173647";"Consumo Humano/Pecuária";"Subterrânea"
"173648";"Pecuária";"Subterrânea"
"173649";"Nenhum Outro Uso";"Subterrânea"
"173650";"Nenhum Outro Uso";"Subterrânea"
"173651";"Nenhum Outro Uso";"Subterrânea"
"173652";"Nenhum Outro Uso";"Subterrânea"
"173653";"Nenhum Outro Uso";"Subterrânea"
"173654";"Nenhum Outro Uso";"Subterrânea"
"173655";"Pecuária";"Subterrânea"
"173656";"Pecuária";"Subterrânea"
"173657";"Pecuária";"Subterrânea"
"173658";"Nenhum Outro Uso";"Subterrânea"
"173659";"Nenhum Outro Uso";"Subterrânea"
"173660";"Pecuária";"Subterrânea"
"173661";"Pecuária";"Subterrânea"
"173662";"Pecuária";"Subterrânea"
"173663";"Nenhum Outro Uso";"Subterrânea"
"173664";"Nenhum Outro Uso";"Subterrânea"
"173665";"Nenhum Outro Uso";"Subterrânea"
"173666";"Nenhum Outro Uso";"Subterrânea"
"173667";"Nenhum Outro Uso";"Subterrânea"
"173668";"Nenhum Outro Uso";"Subterrânea"
"173669";"Consumo Humano";"Subterrânea"
"173670";"Nenhum Outro Uso";"Subterrânea"
"173671";"Nenhum Outro Uso";"Subterrânea"
"173672";"Pecuária";"Subterrânea"
"173673";"Pecuária";"Subterrânea"
"173674";"Pecuária";"Subterrânea"
"173675";"Pecuária";"Subterrânea"
"173676";"Nenhum Outro Uso";"Subterrânea"
"173677";"Consumo Humano";"Subterrânea"
"173678";"Indústria";"Subterrânea"
"173679";"Nenhum Outro Uso";"Subterrânea"
"173680";"Nenhum Outro Uso";"Subterrânea"
"173681";"Nenhum Outro Uso";"Subterrânea"
"173682";"Nenhum Outro Uso";"Subterrânea"
"173683";"Nenhum Outro Uso";"Subterrânea"
"173684";"Nenhum Outro Uso";"Subterrânea"
"173685";"Nenhum Outro Uso";"Subterrânea"
"173686";"Nenhum Outro Uso";"Subterrânea"
"173687";"Nenhum Outro Uso";"Subterrânea"
"173688";"Nenhum Outro Uso";"Subterrânea"
"173689";"Consumo Humano";"Subterrânea"
"173690";"Consumo Humano";"Subterrânea"
"173691";"Nenhum Outro Uso";"Subterrânea"
"173692";"Nenhum Outro Uso";"Subterrânea"
"173693";"Nenhum Outro Uso";"Subterrânea"
"173694";"Pecuária";"Subterrânea"
"173695";"Pecuária";"Subterrânea"
"173696";"Pecuária";"Subterrânea"
"173697";"Nenhum Outro Uso";"Subterrânea"
"173698";"Nenhum Outro Uso";"Subterrânea"
"173699";"Nenhum Outro Uso";"Subterrânea"
"173700";"Nenhum Outro Uso";"Subterrânea"
"173701";"Nenhum Outro Uso";"Subterrânea"
"173702";"Nenhum Outro Uso";"Subterrânea"
"173703";"Consumo Humano";"Subterrânea"
"173704";"Nenhum Outro Uso";"Subterrânea"
"173705";"Nenhum Outro Uso";"Subterrânea"
"173706";"Nenhum Outro Uso";"Subterrânea"
"173707";"Consumo Humano";"Subterrânea"
"173708";"Nenhum Outro Uso";"Subterrânea"
"173709";"Nenhum Outro Uso";"Subterrânea"
"173710";"Nenhum Outro Uso";"Subterrânea"
"173711";"Nenhum Outro Uso";"Subterrânea"
"173712";"Nenhum Outro Uso";"Subterrânea"
"173713";"Nenhum Outro Uso";"Subterrânea"
"173714";"Consumo Humano";"Subterrânea"
"173715";"Nenhum Outro Uso";"Subterrânea"
"173716";"Consumo Humano";"Subterrânea"
"173717";"Consumo Humano/Pecuária";"Subterrânea"
"173718";"Pecuária";"Subterrânea"
"173719";"Nenhum Outro Uso";"Subterrânea"
"173720";"Nenhum Outro Uso";"Subterrânea"
"173721";"Nenhum Outro Uso";"Subterrânea"
"173722";"Pecuária";"Subterrânea"
"173723";"Consumo Humano/Pecuária";"Subterrânea"
"173724";"Consumo Humano/Pecuária";"Subterrânea"
"173725";"Consumo Humano/Pecuária";"Subterrânea"
"173726";"Consumo Humano/Pecuária";"Subterrânea"
"173727";"Consumo Humano";"Subterrânea"
"173728";"Consumo Humano";"Subterrânea"
"173729";"Nenhum Outro Uso";"Subterrânea"
"173730";"Pecuária";"Subterrânea"
"173731";"Consumo Humano";"Subterrânea"
"173732";"Nenhum Outro Uso";"Subterrânea"
"173733";"Nenhum Outro Uso";"Subterrânea"
"173734";"Nenhum Outro Uso";"Subterrânea"
"173735";"Nenhum Outro Uso";"Subterrânea"
"173736";"Consumo Humano";"Subterrânea"
"173737";"Nenhum Outro Uso";"Subterrânea"
"173738";"Nenhum Outro Uso";"Subterrânea"
"173739";"Nenhum Outro Uso";"Subterrânea"
"173740";"Consumo Humano";"Subterrânea"
"173741";"Nenhum Outro Uso";"Subterrânea"
"173742";"Nenhum Outro Uso";"Subterrânea"
"173743";"Nenhum Outro Uso";"Subterrânea"
"173744";"Nenhum Outro Uso";"Subterrânea"
"173745";"Nenhum Outro Uso";"Subterrânea"
"173746";"Nenhum Outro Uso";"Subterrânea"
"173747";"Nenhum Outro Uso";"Subterrânea"
"173748";"Nenhum Outro Uso";"Subterrânea"
"173749";"Nenhum Outro Uso";"Subterrânea"
"173750";"Nenhum Outro Uso";"Subterrânea"
"173751";"Consumo Humano/Pecuária";"Subterrânea"
"173752";"Pecuária";"Subterrânea"
"173753";"Nenhum Outro Uso";"Subterrânea"
"173754";"Consumo Humano";"Subterrânea"
"173755";"Nenhum Outro Uso";"Subterrânea"
"173756";"Consumo Humano";"Subterrânea"
"173757";"Consumo Humano/Pecuária";"Subterrânea"
"173758";"Consumo Humano";"Subterrânea"
"173759";"Consumo Humano";"Subterrânea"
"173760";"Nenhum Outro Uso";"Subterrânea"
"173761";"Pecuária";"Subterrânea"
"173762";"Nenhum Outro Uso";"Subterrânea"
"173763";"Pecuária";"Subterrânea"
"173764";"Pecuária";"Subterrânea"
"173765";"Nenhum Outro Uso";"Subterrânea"
"173766";"Nenhum Outro Uso";"Subterrânea"
"173767";"Nenhum Outro Uso";"Subterrânea"
"173768";"Nenhum Outro Uso";"Subterrânea"
"173769";"Nenhum Outro Uso";"Subterrânea"
"173770";"Consumo Humano/Pecuária";"Subterrânea"
"173771";"Pecuária";"Subterrânea"
"173772";"Consumo Humano";"Subterrânea"
"173773";"Nenhum Outro Uso";"Subterrânea"
"173774";"Consumo Humano";"Subterrânea"
"173775";"Nenhum Outro Uso";"Subterrânea"
"173776";"Nenhum Outro Uso";"Subterrânea"
"173777";"Consumo Humano";"Subterrânea"
"173778";"Consumo Humano";"Subterrânea"
"173779";"Nenhum Outro Uso";"Subterrânea"
"173780";"Nenhum Outro Uso";"Subterrânea"
"173781";"Nenhum Outro Uso";"Subterrânea"
"173782";"Consumo Humano";"Subterrânea"
"173783";"Nenhum Outro Uso";"Subterrânea"
"173784";"Nenhum Outro Uso";"Subterrânea"
"173785";"Nenhum Outro Uso";"Subterrânea"
"173786";"Nenhum Outro Uso";"Subterrânea"
"173787";"Nenhum Outro Uso";"Subterrânea"
"173788";"Consumo Humano";"Subterrânea"
"173789";"Consumo Humano";"Subterrânea"
"173790";"Consumo Humano/Pecuária";"Subterrânea"
"173791";"Nenhum Outro Uso";"Subterrânea"
"173792";"Pecuária";"Subterrânea"
"173793";"Nenhum Outro Uso";"Subterrânea"
"173794";"Pecuária";"Subterrânea"
"173795";"Pecuária";"Subterrânea"
"173796";"Nenhum Outro Uso";"Subterrânea"
"173797";"Nenhum Outro Uso";"Subterrânea"
"173798";"Nenhum Outro Uso";"Subterrânea"
"173799";"Nenhum Outro Uso";"Subterrânea"
"173800";"Nenhum Outro Uso";"Subterrânea"
"173801";"Nenhum Outro Uso";"Subterrânea"
"173802";"Nenhum Outro Uso";"Subterrânea"
"173803";"Nenhum Outro Uso";"Subterrânea"
"173804";"Nenhum Outro Uso";"Subterrânea"
"173805";"Nenhum Outro Uso";"Subterrânea"
"173806";"Nenhum Outro Uso";"Subterrânea"
"173807";"Pecuária";"Subterrânea"
"173808";"Nenhum Outro Uso";"Subterrânea"
"173809";"Nenhum Outro Uso";"Subterrânea"
"173810";"Consumo Humano";"Subterrânea"
"173811";"Nenhum Outro Uso";"Subterrânea"
"173812";"Nenhum Outro Uso";"Subterrânea"
"173813";"Pecuária";"Subterrânea"
"173814";"Nenhum Outro Uso";"Subterrânea"
"173815";"Pecuária";"Subterrânea"
"173816";"Nenhum Outro Uso";"Subterrânea"
"173817";"Nenhum Outro Uso";"Subterrânea"
"173818";"Nenhum Outro Uso";"Subterrânea"
"173819";"Nenhum Outro Uso";"Subterrânea"
"173820";"Nenhum Outro Uso";"Subterrânea"
"173821";"Nenhum Outro Uso";"Subterrânea"
"173822";"Nenhum Outro Uso";"Subterrânea"
"173823";"Nenhum Outro Uso";"Subterrânea"
"173824";"Nenhum Outro Uso";"Subterrânea"
"173825";"Nenhum Outro Uso";"Subterrânea"
"173826";"Nenhum Outro Uso";"Subterrânea"
"173827";"Nenhum Outro Uso";"Subterrânea"
"173828";"Nenhum Outro Uso";"Subterrânea"
"173829";"Nenhum Outro Uso";"Subterrânea"
"173830";"Nenhum Outro Uso";"Subterrânea"
"173831";"Nenhum Outro Uso";"Subterrânea"
"173832";"Pecuária";"Subterrânea"
"173833";"Nenhum Outro Uso";"Subterrânea"
"173834";"Nenhum Outro Uso";"Subterrânea"
"173835";"Consumo Humano/Pecuária";"Subterrânea"
"173836";"Nenhum Outro Uso";"Subterrânea"
"173837";"Nenhum Outro Uso";"Subterrânea"
"173838";"Consumo Humano";"Subterrânea"
"173839";"Nenhum Outro Uso";"Subterrânea"
"173840";"Nenhum Outro Uso";"Subterrânea"
"173841";"Consumo Humano/Pecuária";"Subterrânea"
"173842";"Consumo Humano/Pecuária";"Subterrânea"
"173843";"Consumo Humano/Pecuária";"Subterrânea"
"173844";"Consumo Humano";"Subterrânea"
"173845";"Consumo Humano";"Subterrânea"
"173846";"Nenhum Outro Uso";"Subterrânea"
"173847";"Nenhum Outro Uso";"Subterrânea"
"173848";"Nenhum Outro Uso";"Subterrânea"
"173849";"Nenhum Outro Uso";"Subterrânea"
"173850";"Nenhum Outro Uso";"Subterrânea"
"173851";"Nenhum Outro Uso";"Subterrânea"
"173852";"Nenhum Outro Uso";"Subterrânea"
"173853";"Nenhum Outro Uso";"Subterrânea"
"173854";"Consumo Humano";"Subterrânea"
"173855";"Consumo Humano";"Subterrânea"
"173856";"Nenhum Outro Uso";"Subterrânea"
"173857";"Nenhum Outro Uso";"Subterrânea"
"173858";"Nenhum Outro Uso";"Subterrânea"
"173859";"Nenhum Outro Uso";"Subterrânea"
"173860";"Nenhum Outro Uso";"Subterrânea"
"173861";"Consumo Humano";"Subterrânea"
"173862";"Pecuária";"Subterrânea"
"173863";"Consumo Humano";"Subterrânea"
"173864";"Nenhum Outro Uso";"Subterrânea"
"173865";"Consumo Humano";"Subterrânea"
"173866";"Pecuária";"Subterrânea"
"173867";"Consumo Humano/Pecuária";"Subterrânea"
"173868";"Nenhum Outro Uso";"Subterrânea"
"173869";"Nenhum Outro Uso";"Subterrânea"
"173870";"Nenhum Outro Uso";"Subterrânea"
"173871";"Nenhum Outro Uso";"Subterrânea"
"173872";"Nenhum Outro Uso";"Subterrânea"
"173873";"Consumo Humano";"Subterrânea"
"173874";"Nenhum Outro Uso";"Subterrânea"
"173875";"Nenhum Outro Uso";"Subterrânea"
"173876";"Nenhum Outro Uso";"Subterrânea"
"173877";"Nenhum Outro Uso";"Subterrânea"
"173878";"Nenhum Outro Uso";"Subterrânea"
"173879";"Nenhum Outro Uso";"Subterrânea"
"173880";"Nenhum Outro Uso";"Subterrânea"
